nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Bénonces;1470;1037;45.833333;5.483333;1.7
Béon;1350;1039;45.833333;5.75;1.51
Billiat;1200;1044;46.066667;5.783333;1.5
Brégnier-Cordon;1300;1058;45.65;5.616667;2.61
Brénaz;1260;1059;45.95;5.716667;1.27
Brénod;1110;1060;46.066667;5.6;1.36
Brens;1300;1061;;;
Briord;1470;1064;45.783333;5.466667;1.81
Cessy;1170;1071;46.316667;6.066667;2.46
Ceyzérieu;1350;1073;45.833333;5.733333;1.51
Chaley;1230;1076;45.95;5.533333;1.58
Challex;1630;1078;46.183333;5.966667;2.12
Champagne-en-Valromey;1260;1079;45.9;5.683333;1.17
Champdor;1110;1080;46.016667;5.6;0.87
Champfromier;1410;1081;46.2;5.816667;1.61
Chanay;1420;1082;46;5.783333;1.5
Châtillon-en-Michaille;1200;1091;46.133333;5.783333;1.5
Chavornay;1510;1097;45.883333;5.7;1.31
Chazey-Bons;1300;1098;45.8;5.683333;1.71
Cheignieu-la-Balme;1510;1100;45.833333;5.616667;1.51
Chevillard;1430;1101;46.116667;5.583333;1.08
Chevry;1170;1103;46.283333;6.033333;2.35
Chézery-Forens;1200;1104;46.216667;5.883333;2.48
Cleyzieu;1230;1107;45.9;5.433333;1.11
Collonges;1550;1109;46.133333;5.9;1.89
Colomieu;1300;1110;45.733333;5.616667;2.11
Conand;1230;1111;45.883333;5.466667;1.21
Condamine;1430;1112;46.116667;5.566667;0.76
Confort;1200;1114;46.15;5.816667;1.61
Contrevoz;1300;1116;45.8;5.633333;1.71
Conzieu;1300;1117;45.733333;5.6;2.11
Corbonod;1420;1118;45.95;5.816667;1.61
Corcelles;1110;1119;46.033333;5.583333;0.87
Corlier;1110;1121;46.033333;5.5;1.25
Cormaranche-en-Bugey;1110;1122;45.95;5.6;0.87
Cressin-Rochefort;1350;1133;45.766667;5.766667;1.91
Crozet;1170;1135;;;
Culoz;1350;1138;45.85;5.783333;1.5
Cuzieu;1300;1141;;;
Divonne-les-Bains;1220;1143;46.366667;6.133333;2.69
Echenevex;1170;1153;46.316667;6.033333;2.35
Evosges;1230;1155;45.958333;5.5;-1
Farges;1550;1158;46.166667;5.916667;1.95
Ferney-Voltaire;1210;1160;46.25;6.116667;2.63
Flaxieu;1350;1162;45.816667;5.733333;1.61
Gex;1170;1173;46.333333;6.066667;2.46
Giron;1130;1174;46.233333;5.766667;1.46
Grilly;1220;1180;46.333333;6.116667;2.63
Groslée;1680;1182;45.716667;5.566667;2.21
Hauteville-Lompnes;1110;1185;45.966667;5.6;0.87
Hostiaz;1110;1186;45.9;5.533333;1.11
Hotonnes;1260;1187;46;5.683333;1.16
Injoux-Génissiat;1200;1189;46.05;5.783333;1.5
Innimond;1680;1190;45.783333;5.566667;1.81
Izenave;1430;1191;46.033333;5.533333;1.62
Izieu;1300;1193;45.65;5.633333;2.61
La Burbanche;1510;1066;45.85;5.566667;1.41
Lancrans;1200;1205;46.133333;5.833333;1.67
Lantenay;1430;1206;46.05;5.533333;1.22
Lavours;1350;1208;45.8;5.766667;1.71
Léaz;1200;1209;46.1;5.883333;1.84
Le Grand-Abergement;1260;1176;46.033333;5.666667;1.84
Lélex;1410;1210;46.3;5.95;2.06
Le Petit-Abergement;1260;1292;46.033333;5.65;1.93
Lhôpital;1420;1215;;;
Lhuis;1680;1216;45.75;5.533333;2.01
